date,open,high,low,close,adjusted_close,volume
2023-07-04,85.9,86.47,85.865,86.31,86.31,627100
2023-07-05,85.55,85.94,83.65,85.57,85.57,2930000
2023-07-06,83.95,84.27,81.89,82.65,82.65,4817800
2023-07-07,82.68,84.2,81.82,81.9,81.9,3731100
2023-07-10,81.5,82.37,80.36,82.19,82.19,2087300
2023-07-11,82.69,83.93,82.39,83.6,83.6,2673400
2023-07-12,85.04,86.92,83.97,86.91,86.91,4203900
2023-07-13,88.24,92.41,88.0,92.24,92.24,4782700
2023-07-14,92.75,93.83,90.48,90.55,90.55,3624000
2023-07-17,90.63,92.07,89.6,90.63,90.63,2540300
2023-07-18,90.08,90.6,86.3,88.57,88.57,5710100
2023-07-19,89.38,91.0,88.77,89.91,89.91,3234900
2023-07-20,88.5,89.79,85.7,86.21,86.21,5105600
